threshold,passed_seed_count,minimum_seed_constraint_margin,mean_balanced_accuracy,minimum_worst_batch_engage_recall,minimum_worst_batch_noop_recall,minimum_worst_scenario_engage_recall,minimum_worst_scenario_noop_recall
-0.975460946559906,0,-0.65,0.702685421994885,0.9523809523809523,0.0,0.9285714285714286,0.2413793103448276
-0.9435200691223145,0,-0.65,0.7041346973572038,0.9523809523809523,0.0,0.9285714285714286,0.2413793103448276
-0.9284449517726898,0,-0.65,0.7016837169650469,0.9523809523809523,0.0,0.9285714285714286,0.2413793103448276
-0.905563622713089,0,-0.65,0.7031329923273657,0.9523809523809523,0.0,0.9285714285714286,0.2413793103448276
-0.8836762607097626,0,-0.65,0.7045822676896846,0.9523809523809523,0.0,0.9285714285714286,0.2413793103448276
-0.8736516535282135,0,-0.65,0.7060315430520033,0.9523809523809523,0.0,0.9285714285714286,0.27586206896551724
-0.8587216138839722,0,-0.65,0.7074808184143223,0.9523809523809523,0.0,0.9285714285714286,0.27586206896551724
-0.8392866849899292,0,-0.65,0.7089300937766411,0.9523809523809523,0.0,0.9285714285714286,0.27586206896551724
-0.824786365032196,0,-0.65,0.7064791133844842,0.9166666666666666,0.0,0.9285714285714286,0.27586206896551724
-0.8089971840381622,0,-0.65,0.7079283887468031,0.9166666666666666,0.0,0.9285714285714286,0.27586206896551724
-0.7824784517288208,0,-0.65,0.709377664109122,0.9166666666666666,0.0,0.9285714285714286,0.27586206896551724
-0.7677437365055084,0,-0.65,0.706926683716965,0.9130434782608695,0.0,0.9285714285714286,0.27586206896551724
-0.7653630375862122,0,-0.65,0.7083759590792839,0.9130434782608695,0.0,0.9285714285714286,0.27586206896551724
-0.7600227296352386,0,-0.65,0.705924978687127,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.7495616376399994,0,-0.65,0.7034739982949701,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.7263707518577576,0,-0.65,0.7049232736572891,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.7073042392730713,0,-0.65,0.702472293265132,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6991462409496307,0,-0.65,0.703921568627451,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6859700679779053,0,-0.65,0.7053708439897699,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6720964908599854,0,-0.65,0.7068201193520887,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6631680428981781,0,-0.65,0.7082693947144074,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.65684375166893,0,-0.65,0.7097186700767263,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6376579105854034,0,-0.65,0.7111679454390453,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.621583104133606,0,-0.65,0.712617220801364,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6192353665828705,0,-0.65,0.7140664961636829,0.9047619047619048,0.0,0.9230769230769231,0.27586206896551724
-0.6018086969852448,0,-0.65,0.711615515771526,0.8571428571428571,0.0,0.9230769230769231,0.27586206896551724
-0.5745194256305695,0,-0.65,0.7130647911338448,0.8571428571428571,0.0,0.9230769230769231,0.27586206896551724
-0.5623369514942169,0,-0.65,0.7145140664961637,0.8571428571428571,0.0,0.9230769230769231,0.3103448275862069
-0.5602520704269409,0,-0.65,0.7159633418584826,0.8571428571428571,0.0,0.9230769230769231,0.3103448275862069
-0.5552023649215698,0,-0.65,0.7174126172208014,0.8571428571428571,0.0,0.9230769230769231,0.3103448275862069
-0.539633572101593,0,-0.65,0.7149616368286446,0.8571428571428571,0.0,0.8928571428571429,0.3103448275862069
-0.5271030068397522,0,-0.65,0.7125106564364877,0.8095238095238095,0.0,0.8928571428571429,0.3103448275862069
-0.5238125920295715,0,-0.65,0.7139599317988065,0.8095238095238095,0.0,0.8928571428571429,0.3103448275862069
-0.5173554420471191,0,-0.65,0.7154092071611253,0.8095238095238095,0.0,0.8928571428571429,0.3103448275862069
-0.5117050409317017,0,-0.65,0.7129582267689685,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.5064335763454437,0,-0.65,0.7144075021312872,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.5015014410018921,0,-0.65,0.7158567774936061,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.4970003068447113,0,-0.65,0.7173060528559251,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.4795147031545639,0,-0.65,0.7187553282182438,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.46227990090847015,0,-0.65,0.7202046035805626,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.45566971600055695,0,-0.65,0.7216538789428815,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.4502497613430023,0,-0.65,0.7231031543052003,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.4447072595357895,0,-0.65,0.7245524296675191,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.43792007863521576,0,-0.65,0.7260017050298381,0.8095238095238095,0.0,0.8571428571428571,0.3103448275862069
-0.4348785728216171,0,-0.65,0.7235507246376812,0.8095238095238095,0.0,0.8214285714285714,0.3103448275862069
