objective,model_seed,threshold,count,engage_count,noop_count,accuracy,balanced_accuracy,engage_recall,noop_recall,false_noop_rate,wasteful_engage_rate,worst_batch_engage_recall,worst_batch_noop_recall,worst_scenario_engage_recall,worst_scenario_noop_recall,safety_sign_accuracy,engage_margin,noop_margin,balanced_accuracy_margin,safety_sign_margin,minimum_constraint_margin,predicted_engage_count,passed_check_count,feasible,pareto_frontier,check_balanced_accuracy,check_engage_recall,check_noop_recall,check_batch_engage_recall,check_batch_noop_recall,check_scenario_engage_recall,check_scenario_noop_recall,check_safety_sign_accuracy
scenario_robust_reliable_cost,22,-0.06098902225494385,183,68,115,0.7704918032786885,0.8023657289002557,0.9264705882352942,0.6782608695652174,0.07352941176470588,0.3217391304347826,0.875,0.475,0.8928571428571429,0.5172413793103449,0.7182320441988951,0.275,-0.17500000000000004,0.10236572890025575,0.018232044198895125,-0.17500000000000004,100,6,False,True,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.04325345158576965,183,68,115,0.7650273224043715,0.7950127877237851,0.9117647058823529,0.6782608695652174,0.08823529411764706,0.3217391304347826,0.8333333333333334,0.475,0.8571428571428571,0.5172413793103449,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.09501278772378519,0.018232044198895125,-0.17500000000000004,99,6,False,False,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.03564026951789856,183,68,115,0.7704918032786885,0.7993606138107416,0.9117647058823529,0.6869565217391305,0.08823529411764706,0.3130434782608696,0.8333333333333334,0.475,0.8571428571428571,0.5172413793103449,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.09936061381074168,0.018232044198895125,-0.17500000000000004,98,6,False,False,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.033628612756729126,183,68,115,0.7759562841530054,0.8037084398976981,0.9117647058823529,0.6956521739130435,0.08823529411764706,0.30434782608695654,0.8333333333333334,0.475,0.8571428571428571,0.5517241379310345,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.10370843989769818,0.018232044198895125,-0.17500000000000004,97,6,False,False,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.020475268363952637,183,68,115,0.7814207650273224,0.8080562659846547,0.9117647058823529,0.7043478260869566,0.08823529411764706,0.2956521739130435,0.8333333333333334,0.475,0.8571428571428571,0.5862068965517241,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.10805626598465479,0.018232044198895125,-0.17500000000000004,96,6,False,True,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.006219655275344849,183,68,115,0.7868852459016393,0.8124040920716112,0.9117647058823529,0.7130434782608696,0.08823529411764706,0.28695652173913044,0.8333333333333334,0.475,0.8571428571428571,0.5862068965517241,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.11240409207161128,0.018232044198895125,-0.17500000000000004,95,6,False,True,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,-0.0011999011039733887,183,68,115,0.7923497267759563,0.8167519181585678,0.9117647058823529,0.7217391304347827,0.08823529411764706,0.2782608695652174,0.8333333333333334,0.475,0.8571428571428571,0.5862068965517241,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.11675191815856789,0.018232044198895125,-0.17500000000000004,94,6,False,True,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,0.004219383001327515,183,68,115,0.7868852459016393,0.8093989769820973,0.8970588235294118,0.7217391304347827,0.10294117647058823,0.2782608695652174,0.8333333333333334,0.475,0.8571428571428571,0.5862068965517241,0.7182320441988951,0.2333333333333334,-0.17500000000000004,0.10939897698209733,0.018232044198895125,-0.17500000000000004,93,6,False,True,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,0.04141107201576233,183,68,115,0.7814207650273224,0.8020460358056266,0.8823529411764706,0.7217391304347827,0.11764705882352941,0.2782608695652174,0.7916666666666666,0.475,0.7857142857142857,0.5862068965517241,0.7182320441988951,0.18571428571428572,-0.17500000000000004,0.10204603580562666,0.018232044198895125,-0.17500000000000004,92,6,False,False,True,True,True,True,False,True,False,True
scenario_robust_reliable_cost,22,0.07713392376899719,183,68,115,0.7868852459016393,0.8063938618925831,0.8823529411764706,0.7304347826086957,0.11764705882352941,0.26956521739130435,0.7916666666666666,0.475,0.7857142857142857,0.5862068965517241,0.7182320441988951,0.18571428571428572,-0.17500000000000004,0.10639386189258315,0.018232044198895125,-0.17500000000000004,91,6,False,False,True,True,True,True,False,True,False,True
