context_id,scenario,policy_seed,slot,episode_index,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,legal_targets,target_probabilities,safety_score,resource_score
confirm_heterogeneity_pressure_seed17_safety04_e20_t19_u2,heterogeneity_pressure,17,safety,20,1452268385,19,0ac5fc5e5188a1614a1a898a185326a63ef3a98abe1b74c41636de04a00de796,2,laser,0.25,"0,2,3","0.339192926884,0.337761431932,0.323045581579",1.1571181020248955,0.8892857142857143
confirm_heterogeneity_pressure_seed17_safety05_e23_t30_u2,heterogeneity_pressure,17,safety,23,1452268388,30,52017744d8846d251bffad889e7a26acac0b150429c0910f6cccbc78b684af79,2,laser,0.25,0,1,0.8802791239771104,0.8892857142857143
confirm_heterogeneity_pressure_seed17_resource00_e23_t04_u0,heterogeneity_pressure,17,resource,23,1452268388,4,aca6d8313d26b234b4d9ca2f2776a17e81dba97103e2fd667c76853576300a97,0,missile,2.8,"1,4","0.497245877981,0.502754211426",0.03518530842853723,2.666666666666667
confirm_heterogeneity_pressure_seed17_resource01_e03_t04_u0,heterogeneity_pressure,17,resource,3,1452268368,4,80e3e12796958dcd7578c550eefec3e50eebc00988a2588742540eb88849b095,0,missile,2.8,"1,2","0.49396687746,0.506033062935",0.018434752995782788,2.666666666666667
confirm_heterogeneity_pressure_seed17_resource02_e21_t04_u0,heterogeneity_pressure,17,resource,21,1452268386,4,3977d7c306492c1bef7189dd5c35227c1b8c3872b35d7b3b19cc4b3a303d8cd9,0,missile,2.8,"0,3","0.518770158291,0.481229871511",0.03937123317252757,2.666666666666667
confirm_heterogeneity_pressure_seed17_resource03_e17_t04_u2,heterogeneity_pressure,17,resource,17,1452268382,4,7e5959496c4c70dd9de835c6bcd13191921bc0de46bc000c830870cee7ecc7f7,2,laser,0.25,1,1,0.01999570605881825,1.2892857142857141
confirm_heterogeneity_pressure_seed17_resource04_e08_t28_u2,heterogeneity_pressure,17,resource,8,1452268373,28,94fd3985efe8e67792b118d73e19a453d581c95b63cec27987b67f54e4575eb3,2,laser,0.25,4,1,0.13798763270151226,0.9892857142857143
confirm_heterogeneity_pressure_seed17_resource05_e23_t43_u2,heterogeneity_pressure,17,resource,23,1452268388,43,db2e5651ed3685b62a2d5a26b38b43b2fdf82971346b9aa0723fc2e5cd18aabe,2,laser,0.25,3,1,0.11447435651623597,0.9892857142857143
confirm_heterogeneity_pressure_seed18_safety00_e00_t27_u1,heterogeneity_pressure,18,safety,0,1452278365,27,84b3ea9a54e6c379e2189c8ce109d9696c4c5717ee83e429c01978e6ed95c727,1,missile,1.5,"0,1,3,4","0.250695705414,0.256604224443,0.23791834712,0.254781723022",4.521981831893774,1.5357142857142856
confirm_heterogeneity_pressure_seed18_safety01_e00_t27_u0,heterogeneity_pressure,18,safety,0,1452278365,27,84b3ea9a54e6c379e2189c8ce109d9696c4c5717ee83e429c01978e6ed95c727,0,missile,2.8,"0,1,3,4","0.249872326851,0.257459819317,0.23726606369,0.25540176034",4.521981831893774,2.0
confirm_heterogeneity_pressure_seed18_safety02_e00_t27_u2,heterogeneity_pressure,18,safety,0,1452278365,27,84b3ea9a54e6c379e2189c8ce109d9696c4c5717ee83e429c01978e6ed95c727,2,laser,0.25,"0,4","0.494804143906,0.505195856094",4.521981831893774,1.3892857142857142
confirm_heterogeneity_pressure_seed18_safety03_e15_t35_u2,heterogeneity_pressure,18,safety,15,1452278380,35,fe99477c657644d922a4c2d4b2f5458e23643e4e84a1db137ec70e7b29d760f6,2,laser,0.25,"0,2,4","0.33054792881,0.343376934528,0.326075106859",4.043035938474369,1.0892857142857142
confirm_heterogeneity_pressure_seed18_safety04_e15_t35_u1,heterogeneity_pressure,18,safety,15,1452278380,35,fe99477c657644d922a4c2d4b2f5458e23643e4e84a1db137ec70e7b29d760f6,1,missile,1.5,"0,2,4","0.330819159746,0.342999428511,0.326181381941",4.043035938474369,1.5357142857142856
confirm_heterogeneity_pressure_seed18_safety05_e15_t35_u0,heterogeneity_pressure,18,safety,15,1452278380,35,fe99477c657644d922a4c2d4b2f5458e23643e4e84a1db137ec70e7b29d760f6,0,missile,2.8,"0,2,4","0.331488132477,0.343254625797,0.325257241726",4.043035938474369,2.0
confirm_heterogeneity_pressure_seed18_resource00_e05_t37_u0,heterogeneity_pressure,18,resource,5,1452278370,37,a381ebbbe6f2f8dcbd6180f0f27107ff7add54b6148883afb09dfda572744cb8,0,missile,2.8,4,1,0.02359924947939412,2.666666666666667
confirm_heterogeneity_pressure_seed18_resource01_e04_t24_u0,heterogeneity_pressure,18,resource,4,1452278369,24,71ffc99b04f31e859f61025a60206b5c520e64a7411203784ecddccd66a99b2a,0,missile,2.8,2,1,0.019016458858149152,2.666666666666667
confirm_heterogeneity_pressure_seed18_resource02_e17_t19_u0,heterogeneity_pressure,18,resource,17,1452278382,19,f753df3147457b4840df445bf1bafa5155ffcf088dad3fd0efe7f52ac2d1266b,0,missile,2.8,"0,2,3,4","0.252712100744,0.250386893749,0.252405256033,0.24449570477",0.1909191714937312,2.666666666666667
