method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,0,8,30208,all,768,1399,0.5179793834686279,0.4820205867290497,0.6757763028144836,0.641010046005249,0.8475390672683716,0.07147962830593281,-29.727293014526367
role_conditioned_ar_ppo_order_012,medium,0,8,30208,heterogeneity_pressure,256,456,0.49914389848709106,0.5008561611175537,0.698258101940155,0.6507847905158997,0.7811940908432007,0.06359649122807018,-28.182069778442383
role_conditioned_ar_ppo_order_012,medium,0,8,30208,medium,256,471,0.5064640641212463,0.4935359060764313,0.6722351312637329,0.6361848711967468,0.8208451271057129,0.0870488322717622,-30.512981414794922
role_conditioned_ar_ppo_order_012,medium,0,8,30208,time_pressure,256,472,0.547667384147644,0.45233264565467834,0.6575903296470642,0.6363816261291504,0.9382725358009338,0.0635593220338983,-30.486825942993164
factorized_engagement_ar_ppo_order_012,medium,0,8,0,all,768,1270,0.501503586769104,0.498496413230896,0.7674981355667114,0.6931422352790833,0.7739307880401611,1.0,0.12052873522043228
factorized_engagement_ar_ppo_order_012,medium,0,8,0,heterogeneity_pressure,256,415,0.5015391707420349,0.4984607994556427,0.6926864981651306,0.6931419968605042,0.6992067098617554,1.0,0.14234910905361176
factorized_engagement_ar_ppo_order_012,medium,0,8,0,medium,256,412,0.5016257762908936,0.49837422370910645,0.7493993043899536,0.6931415796279907,0.756333589553833,1.0,0.17234385013580322
factorized_engagement_ar_ppo_order_012,medium,0,8,0,time_pressure,256,443,0.5013566613197327,0.49864333868026733,0.8544138073921204,0.6931430697441101,0.8602976202964783,1.0,0.046893272548913956
factorized_engagement_ar_ppo_order_012,medium,0,8,2048,all,768,1311,0.5224272012710571,0.4775727689266205,0.6484956741333008,0.6920836567878723,0.777578592300415,1.0,-20.916154861450195
factorized_engagement_ar_ppo_order_012,medium,0,8,2048,heterogeneity_pressure,256,416,0.521719217300415,0.4782807528972626,0.5924417972564697,0.6921499967575073,0.7156555652618408,1.0,-20.91217803955078
factorized_engagement_ar_ppo_order_012,medium,0,8,2048,medium,256,445,0.5218604803085327,0.4781394898891449,0.6474441289901733,0.692129373550415,0.7681530117988586,1.0,-20.91559600830078
factorized_engagement_ar_ppo_order_012,medium,0,8,2048,time_pressure,256,450,0.5236422419548035,0.47635775804519653,0.7013541460037231,0.6919772028923035,0.844143807888031,1.0,-20.920690536499023
factorized_engagement_ar_ppo_order_012,medium,0,8,4096,all,768,1299,0.5550203323364258,0.4449796974658966,0.5133917331695557,0.6869437098503113,0.7734637260437012,1.0,-29.04960823059082
factorized_engagement_ar_ppo_order_012,medium,0,8,4096,heterogeneity_pressure,256,410,0.5535820722579956,0.446417897939682,0.45463305711746216,0.687262237071991,0.7075120210647583,1.0,-29.00868797302246
factorized_engagement_ar_ppo_order_012,medium,0,8,4096,medium,256,442,0.5532464981079102,0.44675353169441223,0.5123014450073242,0.6873106956481934,0.7574268579483032,1.0,-29.04092788696289
factorized_engagement_ar_ppo_order_012,medium,0,8,4096,time_pressure,256,447,0.5580933690071106,0.441906601190567,0.568364679813385,0.6862883567810059,0.8498136401176453,1.0,-29.099212646484375
factorized_engagement_ar_ppo_order_012,medium,0,8,6144,all,768,1286,0.642716646194458,0.3572833240032196,0.1464875042438507,0.651667594909668,0.7689126133918762,1.0,-28.86787986755371
factorized_engagement_ar_ppo_order_012,medium,0,8,6144,heterogeneity_pressure,256,402,0.6412211656570435,0.35877877473831177,0.1030820906162262,0.6525646448135376,0.7200449705123901,1.0,-28.396663665771484
factorized_engagement_ar_ppo_order_012,medium,0,8,6144,medium,256,441,0.642719030380249,0.3572809398174286,0.12349151074886322,0.651627779006958,0.7357948422431946,1.0,-27.99247169494629
factorized_engagement_ar_ppo_order_012,medium,0,8,6144,time_pressure,256,443,0.6440713405609131,0.3559286594390869,0.20876789093017578,0.6508932113647461,0.8462258577346802,1.0,-30.214496612548828
factorized_engagement_ar_ppo_order_012,medium,0,8,8192,all,768,1257,0.6681715250015259,0.3318284749984741,0.03259951248764992,0.6351519823074341,0.7780907154083252,1.0,-39.504119873046875
factorized_engagement_ar_ppo_order_012,medium,0,8,8192,heterogeneity_pressure,256,404,0.6669592261314392,0.3330407440662384,-0.02145174704492092,0.6359851360321045,0.7198690176010132,1.0,-40.33595275878906
factorized_engagement_ar_ppo_order_012,medium,0,8,8192,medium,256,417,0.6668401956558228,0.333159863948822,0.026241717860102654,0.6360116600990295,0.7546226978302002,1.0,-39.22111511230469
factorized_engagement_ar_ppo_order_012,medium,0,8,8192,time_pressure,256,436,0.67056804895401,0.3294318616390228,0.08876443654298782,0.6335577964782715,0.8544846773147583,1.0,-38.95529556274414
factorized_engagement_ar_ppo_order_012,medium,0,8,10240,all,768,1289,0.6801642179489136,0.3198357820510864,-0.034491803497076035,0.6264553666114807,0.7638201713562012,1.0,-35.05674362182617
factorized_engagement_ar_ppo_order_012,medium,0,8,10240,heterogeneity_pressure,256,408,0.6784127354621887,0.32158732414245605,-0.07552440464496613,0.6277570724487305,0.7107637524604797,1.0,-37.88866424560547
