method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_120,learning,medium,medium,1,1,1-2-0,1,missile,0,2382,150,0.06297229219143577,168,18,0.10714285714285714,67,214,0.3130841121495327,0.7744466748553999,0.10959241728992472,0.6166302738689854,0,524,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,1-2-0,2,laser,1,2382,431,0.1809403862300588,1366,935,0.6844802342606149,204,967,0.2109617373319545,0.7612228064928168,0.06565198038082538,0.5200289451073249,18,2612,0.006891271056661562
autoregressive_ppo_order_120,learning,medium,medium,1,1,1-2-0,0,missile,2,2382,0,0.0,2367,2367,1.0,0,2723,0.0,0.0,0.0,0.0,548,6965,0.07867910983488872
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,1-2-0,1,missile,0,1697,150,0.08839127872716558,174,24,0.13793103448275862,70,241,0.29045643153526973,0.7692728476392536,0.11686976171847903,0.5656910190885659,0,570,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,1-2-0,2,laser,1,1697,408,0.24042427813789038,1082,674,0.6229205175600739,165,1040,0.15865384615384615,0.7523063002145142,0.09017665575063097,0.48948693322233566,28,2338,0.011976047904191617
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,1-2-0,0,missile,2,1697,0,0.0,1677,1677,1.0,0,1993,0.0,0.0,0.0,0.0,509,5242,0.09710034338038917
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,1-2-0,1,missile,0,2298,150,0.06527415143603134,197,47,0.23857868020304568,67,164,0.40853658536585363,0.744624835808097,0.07498589181469073,0.691614775945668,0,403,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,1-2-0,2,laser,1,2298,430,0.18711923411662315,1142,712,0.6234676007005254,182,887,0.20518602029312288,0.7510805767843148,0.0514166730066671,0.5307710379350098,11,2180,0.005045871559633028
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,1-2-0,0,missile,2,2298,0,0.0,2293,2293,1.0,0,3242,0.0,0.0,0.0,0.0,573,7925,0.07230283911671924
autoregressive_ppo_order_201,learning,medium,medium,1,1,2-0-1,2,laser,0,2292,246,0.10732984293193717,1878,1632,0.8690095846645367,90,1609,0.05593536357986327,0.7486698286862121,0.15775246681283842,0.7052028421428921,0,3726,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,2-0-1,0,missile,1,2292,150,0.06544502617801047,214,64,0.29906542056074764,67,269,0.24907063197026022,0.7724033088698056,0.1271762408194678,0.5432705953990831,0,570,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,2-0-1,1,missile,2,2292,150,0.06544502617801047,213,63,0.29577464788732394,62,217,0.2857142857142857,0.7592743697256527,0.09393272664571403,0.5743210465800552,93,628,0.1480891719745223
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,2-0-1,2,laser,0,1632,162,0.09926470588235294,1352,1190,0.8801775147928994,67,1233,0.054339010543390104,0.7716773259692776,0.20515099173556842,0.6623120929753996,0,2883,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,2-0-1,0,missile,1,1632,150,0.09191176470588236,226,76,0.336283185840708,60,272,0.22058823529411764,0.7435229243400071,0.1381628133737661,0.5616961283805353,0,576,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,2-0-1,1,missile,2,1632,150,0.09191176470588236,185,35,0.1891891891891892,72,239,0.301255230125523,0.7612544920053047,0.10897746860145065,0.6187575982921578,82,594,0.13804713804713806
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,2-0-1,2,laser,0,2326,217,0.09329320722269992,1542,1325,0.8592736705577172,93,1200,0.0775,0.7610404931509387,0.11954485943262928,0.7595376421347048,0,2827,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,2-0-1,0,missile,1,2326,150,0.0644883920894239,204,54,0.2647058823529412,62,299,0.20735785953177258,0.7350681381052165,0.14601862110113809,0.6067612870049501,0,652,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,2-0-1,1,missile,2,2326,150,0.0644883920894239,264,114,0.4318181818181818,73,234,0.31196581196581197,0.7759443839125448,0.05691313003601388,0.567371078726411,58,546,0.10622710622710622
autoregressive_ppo_order_012,learning,medium,medium,2,2,0-1-2,0,missile,0,2234,150,0.06714413607878246,161,11,0.06832298136645963,64,159,0.4025157232704403,0.7693010701718943,0.1370711747480884,0.6494515455683966,0,440,0.0
autoregressive_ppo_order_012,learning,medium,medium,2,2,0-1-2,1,missile,1,2234,0,0.0,2230,2230,1.0,0,2694,0.0,0.0,0.0,0.0,128,7858,0.01628913209468058
autoregressive_ppo_order_012,learning,medium,medium,2,2,0-1-2,2,laser,2,2234,12,0.005371530886302597,1941,1929,0.9938176197836167,0,1657,0.0,0.7052493543846041,0.20705522460329348,0.6915772027771044,24,4821,0.004978220286247666
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,0-1-2,0,missile,0,1672,150,0.08971291866028708,158,8,0.05063291139240506,70,186,0.3763440860215054,0.7701440240609702,0.13227272235840307,0.6116490121252268,0,444,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,0-1-2,1,missile,1,1672,0,0.0,1669,1669,1.0,0,2425,0.0,0.0,0.0,0.0,121,6041,0.02002979639132594
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,0-1-2,2,laser,2,1672,1,0.0005980861244019139,1458,1457,0.9993141289437586,1,1571,0.0006365372374283895,0.9875090034629994,0.08833236430488633,0.2976363412024421,28,3748,0.007470651013874066
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,0-1-2,0,missile,0,2289,150,0.0655307994757536,155,5,0.03225806451612903,73,204,0.35784313725490197,0.7785833342860993,0.15987599652497692,0.5974202662935784,0,496,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,0-1-2,1,missile,1,2289,0,0.0,2238,2238,1.0,0,2843,0.0,0.0,0.0,0.0,91,6649,0.013686268611821326
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,0-1-2,2,laser,2,2289,3,0.001310615989515072,1732,1729,0.9982678983833718,3,1470,0.0020408163265306124,0.918029613312147,0.14704471160746668,0.8873573231464008,4,3372,0.0011862396204033216
autoregressive_ppo_order_120,learning,medium,medium,2,2,1-2-0,1,missile,0,2130,141,0.06619718309859154,515,374,0.7262135922330097,51,485,0.10515463917525773,0.769600562230019,0.1053955814441456,0.41950213149285104,0,1728,0.0
autoregressive_ppo_order_120,learning,medium,medium,2,2,1-2-0,2,laser,1,2130,96,0.04507042253521127,1923,1827,0.9500780031201248,46,1725,0.02666666666666667,0.7818143138548166,0.2341076277656514,0.8717932567806664,24,4847,0.004951516401898081
autoregressive_ppo_order_120,learning,medium,medium,2,2,1-2-0,0,missile,2,2130,34,0.01596244131455399,2042,2008,0.9833496571988247,13,2539,0.005120126033871603,0.7796371319597559,0.34011593438422905,0.8314825148580333,178,7219,0.0246571547305721
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,1-2-0,1,missile,0,1623,144,0.08872458410351201,366,222,0.6065573770491803,50,505,0.09900990099009901,0.7537172568137278,0.08342640604929216,0.37847585092661507,0,1310,0.0
