context_id,scenario,policy_seed,slot,environment_step,observation_hash,unit_index,resource_type,unit_cost,unit_ammo,legal_target_count,target_index,target_weight,target_tti,hit_probability,coverability_before,coverability_after,fcrc_externality,n1_total_substitution_mean
confirm_medium_seed19_resource02_e00_t45_u1,medium,19,resource,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,1,missile,2.0,3,3,4,0.6514107221540681,7.094753789640209,0.7502879279641544,0.9649034931793967,0.9649034931793967,0.0,1.5160303297452629
confirm_medium_seed19_resource03_e00_t46_u2,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,2,laser,0.5,10,3,0,0.27328250456778724,0.3283681397370539,0.2844265760941939,1.2685406667793977,1.2685406667793977,0.0,0.4442089442163706
confirm_medium_seed19_resource03_e00_t46_u2,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,2,laser,0.5,10,3,2,0.9598968208670536,2.9830833180927225,0.4117129017223012,0.6884472599536926,0.6884472599536926,0.0,0.4442089442163706
confirm_medium_seed19_resource03_e00_t46_u2,medium,19,resource,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,2,laser,0.5,10,3,4,0.6514107221540681,6.094752875324802,0.3737007002397017,0.9649034948758655,0.9649034948758655,0.0,0.4442089442163706
confirm_medium_seed19_resource04_e00_t45_u2,medium,19,resource,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,2,laser,0.5,10,3,0,0.27328250456778724,1.32836814048563,0.2792375266335227,1.2679299460314888,1.2679299460314888,0.0,0.42320753261446953
confirm_medium_seed19_resource04_e00_t45_u2,medium,19,resource,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,2,laser,0.5,10,3,2,0.9598968208670536,3.983083284077603,0.3897647164084695,0.6878365391427906,0.6878365391427906,0.0,0.42320753261446953
confirm_medium_seed19_resource04_e00_t45_u2,medium,19,resource,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,2,laser,0.5,10,3,4,0.6514107221540681,7.094753789640209,0.3767423470237039,0.9649034931793967,0.9649034931793967,0.0,0.42320753261446953
confirm_medium_seed19_resource05_e00_t48_u2,medium,19,resource,48,01edf6f0db2e7737e61bf294c8bd124f95a57a860e49f96b39a971c1e94fb04e,2,laser,0.5,10,2,2,0.9598968208670536,0.9830828818579043,0.4547417463822798,0.49604221542868937,0.49604221542868937,0.0,0.2573546916246414
confirm_medium_seed19_resource05_e00_t48_u2,medium,19,resource,48,01edf6f0db2e7737e61bf294c8bd124f95a57a860e49f96b39a971c1e94fb04e,2,laser,0.5,10,2,4,0.6514107221540681,4.094752099413517,0.3629224423495206,0.7680286390805852,0.7680286390805852,0.0,0.2573546916246414
confirm_time_pressure_seed17_safety00_e06_t17_u2,time_pressure,17,safety,17,0682868d07e405b07acdfd3083521b48cf959327fa6e3b9de7e8a90e0cfb4e68,2,laser,0.5,2,2,1,0.45262733949627454,8.53478053764544,0.056999766956676134,0.13865002993405467,0.0,0.13865002993405467,0.4999999850988388
confirm_time_pressure_seed17_safety00_e06_t17_u2,time_pressure,17,safety,17,0682868d07e405b07acdfd3083521b48cf959327fa6e3b9de7e8a90e0cfb4e68,2,laser,0.5,2,2,2,0.5185949120478747,0.1474105730835605,0.2673570806329901,0.03963591653326546,0.03963591653326546,0.0,0.4999999850988388
confirm_time_pressure_seed17_safety01_e17_t20_u2,time_pressure,17,safety,20,31a51fd63494fad5c9e81a5be9338afb58582f26a987984d8216c82e147e54f5,2,laser,0.5,1,3,0,0.6110764397048972,11.176237104656146,0.06428695678710938,0.16437108643391557,0.0,0.16437108643391557,0.4999999701976776
confirm_time_pressure_seed17_safety01_e17_t20_u2,time_pressure,17,safety,20,31a51fd63494fad5c9e81a5be9338afb58582f26a987984d8216c82e147e54f5,2,laser,0.5,1,3,2,0.5437287205905587,0.5644318262151988,0.2554240944602273,0.16437108643391557,0.0,0.16437108643391557,0.4999999701976776
confirm_time_pressure_seed17_safety01_e17_t20_u2,time_pressure,17,safety,20,31a51fd63494fad5c9e81a5be9338afb58582f26a987984d8216c82e147e54f5,2,laser,0.5,1,3,4,0.606255022611306,8.034820837789784,0.27112530517578126,0.13888142055341515,0.0,0.13888142055341515,0.4999999701976776
confirm_time_pressure_seed17_safety02_e11_t20_u2,time_pressure,17,safety,20,76ae51a477b0160b1b033f2f10b30a803ed1041e93ce7d8fccd312983874cd83,2,laser,0.5,1,1,3,0.92012755631472,1.2674304466734903,0.19430921519886366,0.0,0.0,0.0,0.5
confirm_time_pressure_seed17_safety03_e06_t16_u2,time_pressure,17,safety,16,5e1d6f6524fd9f9677c87d6b4b46e46247a8c565bee47669762dbda579191044,2,laser,0.5,3,2,1,0.45262733949627454,9.53478167821938,0.025655215176669025,0.1386500290388974,0.1386500290388974,0.0,0.4999999850988388
confirm_time_pressure_seed17_safety03_e06_t16_u2,time_pressure,17,safety,16,5e1d6f6524fd9f9677c87d6b4b46e46247a8c565bee47669762dbda579191044,2,laser,0.5,3,2,2,0.5185949120478747,1.1474103545113383,0.24317133955522016,0.03963590483114654,0.03963590483114654,0.0,0.4999999850988388
confirm_time_pressure_seed17_safety04_e11_t19_u2,time_pressure,17,safety,19,437871f3be2169d36ba0c1a35c07d168bd51cf5382e1c128fb012652ff806e9e,2,laser,0.5,2,1,3,0.92012755631472,2.2674302662145585,0.15361619151722306,0.0,0.0,0.0,0.5
