bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
5,sampled_engagement_action,0,20,medium,0.5,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.6000000000000001
6,sampled_engagement_action,0,20,medium,0.6000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.7000000000000001
7,sampled_engagement_action,0,20,medium,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.8
8,sampled_engagement_action,0,20,medium,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,20,medium,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,0,20,time_pressure,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,0,20,time_pressure,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.2
2,sampled_engagement_action,785,20,time_pressure,0.2,0.26713582770839617,factorized_engagement_ar_ppo_order_012,0.2840764331210191,8,0.30000000000000004
3,sampled_engagement_action,165,20,time_pressure,0.30000000000000004,0.313535016413891,factorized_engagement_ar_ppo_order_012,0.2606060606060606,8,0.4
4,sampled_engagement_action,0,20,time_pressure,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.5
5,sampled_engagement_action,0,20,time_pressure,0.5,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.6000000000000001
6,sampled_engagement_action,0,20,time_pressure,0.6000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.7000000000000001
7,sampled_engagement_action,0,20,time_pressure,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.8
8,sampled_engagement_action,0,20,time_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,20,time_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,0,20,heterogeneity_pressure,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,0,20,heterogeneity_pressure,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.2
2,sampled_engagement_action,847,20,heterogeneity_pressure,0.2,0.26469952951778064,factorized_engagement_ar_ppo_order_012,0.2597402597402597,8,0.30000000000000004
3,sampled_engagement_action,152,20,heterogeneity_pressure,0.30000000000000004,0.31884541342917244,factorized_engagement_ar_ppo_order_012,0.3684210526315789,8,0.4
4,sampled_engagement_action,0,20,heterogeneity_pressure,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.5
5,sampled_engagement_action,0,20,heterogeneity_pressure,0.5,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.6000000000000001
6,sampled_engagement_action,0,20,heterogeneity_pressure,0.6000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.7000000000000001
7,sampled_engagement_action,0,20,heterogeneity_pressure,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.8
8,sampled_engagement_action,0,20,heterogeneity_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,20,heterogeneity_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,922,20,medium,0.0,0.06563487576639962,factorized_engagement_ar_ppo_order_012,0.05856832971800434,9,0.1
1,sampled_engagement_action,478,20,medium,0.1,0.14162952978179544,factorized_engagement_ar_ppo_order_012,0.12133891213389121,9,0.2
2,sampled_engagement_action,183,20,medium,0.2,0.24255148138179153,factorized_engagement_ar_ppo_order_012,0.24043715846994534,9,0.30000000000000004
3,sampled_engagement_action,80,20,medium,0.30000000000000004,0.3469168409705162,factorized_engagement_ar_ppo_order_012,0.35,9,0.4
4,sampled_engagement_action,35,20,medium,0.4,0.44842723097120013,factorized_engagement_ar_ppo_order_012,0.37142857142857144,9,0.5
5,sampled_engagement_action,29,20,medium,0.5,0.5486263653327679,factorized_engagement_ar_ppo_order_012,0.5862068965517241,9,0.6000000000000001
6,sampled_engagement_action,36,20,medium,0.6000000000000001,0.6548992958333757,factorized_engagement_ar_ppo_order_012,0.6666666666666666,9,0.7000000000000001
7,sampled_engagement_action,30,20,medium,0.7000000000000001,0.7418965717156728,factorized_engagement_ar_ppo_order_012,0.6,9,0.8
8,sampled_engagement_action,2,20,medium,0.8,0.8137838542461395,factorized_engagement_ar_ppo_order_012,0.5,9,0.9
9,sampled_engagement_action,0,20,medium,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,9,1.0
0,sampled_engagement_action,698,20,time_pressure,0.0,0.06722264931694655,factorized_engagement_ar_ppo_order_012,0.0659025787965616,9,0.1
1,sampled_engagement_action,369,20,time_pressure,0.1,0.13970982826499112,factorized_engagement_ar_ppo_order_012,0.14092140921409213,9,0.2
2,sampled_engagement_action,139,20,time_pressure,0.2,0.2433065521202499,factorized_engagement_ar_ppo_order_012,0.23741007194244604,9,0.30000000000000004
3,sampled_engagement_action,95,20,time_pressure,0.30000000000000004,0.34695408971686115,factorized_engagement_ar_ppo_order_012,0.3263157894736842,9,0.4
