context_id,scenario,policy_seed,repeat,a_total_return_delta,a_zone_damage_delta,a_high_threat_leaks_delta,a_resource_cost_delta,b_total_return_delta,b_zone_damage_delta,b_high_threat_leaks_delta,b_resource_cost_delta,c_total_return_delta,c_zone_damage_delta,c_high_threat_leaks_delta,c_resource_cost_delta
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,31,53.98428078856722,-0.8027043158137577,0.0,0.0,53.98428078856722,-0.8027043158137577,0.0,0.0,53.98428078856722,-0.8027043158137577,0.0,0.0
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,0,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,1,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,2,-0.5,0.0,0.0,0.5,12.719310235012316,-0.3187273653984506,-0.49970935284225204,0.0002906471577479586,12.219600882170063,-0.3187273653984506,-0.49970935284225204,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,3,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,4,27.419753988379533,-0.7765426889746601,0.0,0.5,13.467991791331514,-0.38849704441275046,0.0,0.5,13.467991791331514,-0.38849704441275046,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,5,27.419753988379533,-0.7765426889746601,0.0,0.5,26.68730202634383,-0.707224409811201,-0.49970935284225204,0.0002906471577479586,26.68730202634383,-0.707224409811201,-0.49970935284225204,0.0002906471577479586
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,6,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,7,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,8,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,13.467991791331514,-0.38849704441275046,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,9,-0.5,0.0,0.0,0.5,25.21204405606862,-0.3187273653984507,-0.49970935284225204,0.0002906471577479586,24.712334703226368,-0.3187273653984507,-0.49970935284225204,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,10,27.419753988379533,-0.7765426889746601,0.0,0.5,13.467991791331514,-0.38849704441275046,0.0,0.5,13.467991791331514,-0.38849704441275046,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,11,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,12,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
